step mean margin_of_error
0 0.502 0.001
1000 0.505 0.002
10000 0.526 0.003
20000 0.539 0.003
30000 0.548 0.002
40000 0.554 0.002
50000 0.561 0.002
60000 0.568 0.002
70000 0.574 0.002
80000 0.579 0.003
90000 0.582 0.003
100000 0.585 0.003
110000 0.589 0.003
120000 0.591 0.003
130000 0.595 0.003
150000 0.6 0.003
160000 0.602 0.003
170000 0.605 0.003
180000 0.606 0.003
190000 0.608 0.003
200000 0.61 0.003
300000 0.623 0.003
400000 0.632 0.003
500000 0.638 0.003
600000 0.642 0.003
700000 0.645 0.003
800000 0.647 0.003
900000 0.649 0.003
