step mean margin_of_error
0 0.501 0.001
1000 0.505 0.003
10000 0.525 0.005
20000 0.531 0.006
30000 0.533 0.005
40000 0.534 0.005
50000 0.536 0.005
60000 0.538 0.004
70000 0.539 0.003
80000 0.539 0.003
90000 0.54 0.003
100000 0.54 0.003
110000 0.54 0.003
120000 0.539 0.004
130000 0.545 0.004
150000 0.552 0.003
160000 0.554 0.004
170000 0.556 0.004
180000 0.557 0.003
190000 0.558 0.003
200000 0.559 0.003
300000 0.576 0.004
400000 0.589 0.006
500000 0.598 0.006
600000 0.607 0.008
700000 0.617 0.007
800000 0.626 0.006
900000 0.633 0.006
