step mean margin_of_error
0 0.517 0.005
1000 0.574 0.012
10000 0.613 0.004
20000 0.613 0.005
30000 0.612 0.005
40000 0.611 0.007
50000 0.61 0.007
60000 0.609 0.006
70000 0.609 0.005
80000 0.609 0.006
90000 0.609 0.005
100000 0.609 0.006
110000 0.608 0.005
120000 0.608 0.005
130000 0.608 0.004
150000 0.613 0.004
160000 0.615 0.005
170000 0.616 0.004
180000 0.617 0.003
190000 0.617 0.002
200000 0.617 0.002
300000 0.626 0.002
400000 0.634 0.004
500000 0.639 0.004
600000 0.646 0.004
700000 0.65 0.004
800000 0.656 0.005
900000 0.66 0.005
