step mean margin_of_error
0 0.503 0.003
1000 0.506 0.003
10000 0.527 0.002
20000 0.538 0.003
30000 0.547 0.003
40000 0.556 0.005
50000 0.564 0.005
60000 0.571 0.006
70000 0.576 0.006
80000 0.583 0.006
90000 0.587 0.005
100000 0.59 0.006
110000 0.592 0.005
120000 0.596 0.005
130000 0.599 0.006
150000 0.604 0.007
160000 0.607 0.006
170000 0.609 0.006
180000 0.61 0.006
190000 0.612 0.005
200000 0.614 0.005
300000 0.627 0.005
400000 0.635 0.005
500000 0.641 0.004
600000 0.645 0.004
700000 0.648 0.005
800000 0.65 0.005
900000 0.651 0.005
