step mean margin_of_error
0 0.502 0.002
1000 0.505 0.002
10000 0.527 0.002
20000 0.539 0.003
30000 0.549 0.003
40000 0.556 0.003
50000 0.564 0.003
60000 0.57 0.004
70000 0.576 0.003
80000 0.582 0.004
90000 0.587 0.003
100000 0.59 0.003
110000 0.592 0.003
120000 0.595 0.003
130000 0.598 0.003
150000 0.603 0.004
160000 0.606 0.004
170000 0.608 0.003
180000 0.61 0.004
190000 0.611 0.003
200000 0.613 0.003
300000 0.626 0.003
400000 0.634 0.004
500000 0.64 0.004
600000 0.644 0.004
700000 0.647 0.004
800000 0.649 0.005
900000 0.651 0.005
