step mean margin_of_error
0 0.51 0.005
1000 0.603 0.002
10000 0.628 0.003
20000 0.636 0.003
30000 0.642 0.003
40000 0.647 0.003
50000 0.651 0.003
60000 0.653 0.003
70000 0.657 0.003
80000 0.66 0.003
90000 0.66 0.004
100000 0.662 0.003
110000 0.665 0.003
120000 0.666 0.003
130000 0.668 0.003
150000 0.671 0.003
160000 0.673 0.003
170000 0.673 0.003
180000 0.675 0.003
190000 0.675 0.003
200000 0.676 0.003
300000 0.684 0.003
400000 0.689 0.003
500000 0.692 0.003
600000 0.694 0.004
700000 0.696 0.003
800000 0.697 0.003
900000 0.698 0.003
