step mean margin_of_error
0 0.502 0.001
1000 0.505 0.002
10000 0.525 0.005
20000 0.53 0.006
30000 0.532 0.006
40000 0.534 0.006
50000 0.536 0.006
60000 0.537 0.005
70000 0.539 0.004
80000 0.539 0.004
90000 0.539 0.004
100000 0.539 0.005
110000 0.54 0.004
120000 0.54 0.004
130000 0.545 0.005
150000 0.553 0.004
160000 0.555 0.004
170000 0.556 0.004
180000 0.558 0.003
190000 0.559 0.003
200000 0.56 0.003
300000 0.577 0.003
400000 0.59 0.005
500000 0.599 0.005
600000 0.607 0.006
700000 0.616 0.006
800000 0.626 0.005
900000 0.632 0.005
